comment_id,username,message
ct_514,Thor Hamma,Her voice is like an old Gibson on an VoxAC30 - goose bombs! :smiling_face_with_heart_eyes:
ct_517,Epi..mű,"""tf"" :face_with_tears_of_joy: your an offly fekn sweary blighter"
ct_518,Russell Watkins,i would fall asleep if i was there
ct_523,Ford Prefect,Holy shit
ct_524,M S,:red_heart: 
ct_529,Luca M.,:raising_hands::red_heart::raising_hands::red_heart::raising_hands: 
ct_530,Ford Prefect,Tears
ct_531,Benjamin Kunz,some much soul
ct_533,Luca M.,:raising_hands::red_heart::raising_hands::red_heart::raising_hands: 
ct_535,Sporty Otter Pop (René Lilly),chills and thrills
ct_536,Thor Hamma,:smiling_face_with_heart_eyes::star_struck::smiling_face_with_heart_eyes:
ct_537,Luca M.,:raising_hands::red_heart::raising_hands::red_heart::raising_hands: 
ct_539,Tamás Borbély,feeeelzz:hands-yellow-heart-red::hands-yellow-heart-red::face-turquoise-music-note::person-pink-swaying-hair::pillow-turquoise-hot-chocolate::fish-orange-wide-eyes:
ct_540,Anniken Huseby,Wow amazing version :red_heart: :red_heart: 
ct_541,Luca M.,:raising_hands::red_heart::raising_hands::red_heart::raising_hands: 
ct_542,serdar ileri,:sun_with_face:
ct_543,Epi..mű,Russel Watkins jr ...🕵🏼 :face_with_peeking_eye: are you using your Daddies YT account again?
ct_546,Thor Hamma,Great vocalists great musicians - Moby is gracefully
ct_547,Luca M.,:water_wave::water_wave::musical_notes::musical_note::sparkles::sparkles::shooting_star::shooting_star:
ct_549,Sporty Otter Pop (René Lilly),This song makes a gal feel some hope again
ct_552,Luca M.,:raising_hands::sparkles::raising_hands::sparkles::raising_hands:
ct_556,Luca M.,:raising_hands::sparkles::raising_hands::sparkles::raising_hands:
ct_557,Sporty Otter Pop (René Lilly),who else feels like we're being shined on by a beautiful light right now?
ct_559,VIMUK 2020,merci from montevideo uruguay :medal-yellow-first-red:
ct_560,goochn,i like moby but who is this cheap coverband :D
ct_561,T,👏🏻👏🏻👏🏻
ct_563,Epi..mű,I do have a lather nice lamp :beaming_face_with_smiling_eyes:
ct_564,F L,Arte :smiling_face_with_hearts: moby :smiling_face_with_hearts: merci :smiling_face_with_heart_eyes:
ct_565,Epi..mű,rather*
ct_566,filtav,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
ct_568,Benjamin Kunz,i remember the video of this song... one of my favorite but this is so much better
ct_569,Luca M.,:shooting_star::shooting_star::raising_hands::raising_hands::shooting_star::shooting_star:
ct_571,David Rodriguez,Name this song? 
ct_572,Cyn Raver,music that touches the heart :fire:
ct_575,Epi..mű,some folks seem to just crawl out there' caves and ... instantly start to text on YT chats:face-blue-droopy-eyes::dashing_away:
ct_576,Cyn Raver,:sparkles::yellow_heart::sparkles:
ct_577,Julieta Pusino,that was the voice for 'in this world'
ct_578,Epi..mű,"their* .,"
ct_579,Octobert,my cat thinks he has the right to chew laptop cables
ct_580,Tamás Borbély,Why does my heart feels so bad - Moby
ct_581,Julian Reverse,:dog2::duck::chicken::rat::rhinoceros::cow2::black_cat:
ct_582,bruno michaux,":red_heart: the best song ""ever-loving"" <3"
ct_583,Sporty Otter Pop (René Lilly),"Exactly, Epi! They see a crowd and they gotta act out"
ct_585,Epi..mű,where's text assistant when your stoned... fekrs temperamental af
ct_586,David Rodriguez,Thanks 
ct_588,filtav,this track is so beautiful
ct_589,BrigadierSchmitt,it is the famous clip with the train through the snow 
ct_591,Sporty Otter Pop (René Lilly),that cello sound
ct_592,El NeverFake,happy 25 years
ct_593,Luca M., :water_wave::water_wave::musical_notes::musical_note::sparkles::sparkles::shooting_star::shooting_star:
ct_594,Sporty Otter Pop (René Lilly),so floaty lovely
ct_597,HNRIK,"This is great, reminds me of Mogwai , some post-rock vibes"
ct_599,Vj Manu,Thanks for streaming this great concert!!
ct_600,Alejandra,:speaker_low_volume::speaker_medium_volume::speaker_high_volume::blue_heart:
ct_603,Sporty Otter Pop (René Lilly),"Feeling better than I was, before viewing this"
ct_604,Sabrina Fairchild ,Lady Blackbird is only 39 
ct_605,M S,:red_heart: 
ct_606,Luca M.,:wind_face::musical_notes::musical_note::parachute::parachute:
ct_607,Julian Reverse,Also the sound of the drums. Perfect Mix!
ct_608,F L,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_609,Juan Noguera,Jason Bourne must be among the public
ct_611,E Simon,this concert has nice sound/mixing
ct_614,Ford Prefect,:red_heart:
ct_615,Adrien,<3
ct_617,Luca M.,:speaker_high_volume::speaker_high_volume::musical_notes::star::musical_note::glowing_star:
