comment_id,username,message,feeling_pos,feeling_neu,feelinf_neg,external_ref,phys_react_intentional,phys_react_unintentional,reference_audience
ct_231,f c,ROAD SURE SHE WAS NOT A COW,,,,,,,
ct_232,Keti Chachibaia,:red_heart::red_heart::red_heart::red_heart::red_heart:,,,,,,,
ct_234,tastentor,riders on the moon,,,,,,,
ct_235,f c,CAUSE IM MEAT FREE,,,,,,,
ct_237,f c,CHICKEN FISH AND PUSSY IS ALL I EAT ,,,,,,,
ct_240,Doughnut Doney,Air not had studio album for what 12 years now,,,,,,,
ct_243,Romeo CHARLIE,Another era,,,,,,,
ct_245,Leesmap Man,excellent version of All I Need,,,,,,,
ct_249,hicham mkhadri,Nice:thumbs_up::thumbs_up:,,,,,,,
ct_255,f c,styx COM MR ROBOTO,,,,,,,
ct_258,Leesmap Man,the ,,,,,,,
ct_261,Jose Vega,Noce!,,,,,,,
ct_262,Evaristo Corona,the stars,,,,,,,
ct_263,Romeo CHARLIE,"20 years, oh bro",,,,,,,
ct_265,f c,EVER TRACK IS A REPEAT OF A 4 X 4 SCALE SINCE 1775,,,,,,,
ct_277,ScientistAbe - Elsass in Texas,"Time machine, 24 years back, with this song.",,,,,,,
ct_279,shon ryder,:blue_circle::white_circle::red_circle:,,,,,,,
ct_280,Leesmap Man,I love this album,,,,,,,
ct_282,Julieta Bonino,:red_heart:,,,,,,,
ct_283,János,:shooting_star::shooting_star::shooting_star::glowing_star:,,,,,,,
ct_285,Romeo CHARLIE,Goods albums,,,,,,,
ct_286,f c, THE ORIGINAL BATMAN ,,,,,,,
ct_288,K,i love this guays,,,,,,,
ct_291,YESTERDAY,Very cool,,,,,,,
ct_293,johan delebecq,One of the best album in the world :red_heart:,,,,,,,
ct_296,f c,TOP NOTCH @shon ryder ,,,,,,,
ct_298,Headsknow,This was such an important release ,,,,,,,
ct_300,Ganimedes Light,Cool :face-red-heart-shape:,,,,,,,
ct_302,Leesmap Man,"@Headsknow yeah, I was going to give up on music with all that depressing grunge and then this album came out",,,,,,,
ct_303,Ali Hammami,:face-red-heart-shape:,,,,,,,
ct_304,filtav,oush this one...,,,,,,,
ct_305,f c,I REMEMBER ENJOYING LIFE before everyone had a Camara,,,,,,,
ct_306,Juan Carlos,Very soon @HIPNOSIS FESTIVAL MEXICO,,,,,,,
ct_307,Frank Zappa,"I was there this night, amazing",,,,,,,
ct_309,f c,piss off i phone camara man,,,,,,,
ct_310,Leesmap Man,@Frank Zappa how? It's live! go back to the concert!!,,,,,,,
ct_312,Tomasz Stasiak,AIR London 2004 still remember:),,,,,,,
ct_316,filtav,:eyes-pink-heart-shape:,,,,,,,
ct_317,shon ryder,:bow_and_arrow::balloon:,,,,,,,
ct_324,EasyDieselPictures,Over a month from today and I will see this in Austin TX,,,,,,,
ct_326,popcorntommy,i'm in tears !! so amazing <3,,,,,,,
ct_327,Romeo CHARLIE,:shelterin::chillwcat::planet-orange-purple-ring::planet-orange-purple-ring::planet-orange-purple-ring:,,,,,,,
ct_328,þ_szøøëëń🦖 ,:hands-yellow-heart-red::hands-yellow-heart-red::hands-yellow-heart-red::hands-yellow-heart-red::hands-yellow-heart-red::hands-yellow-heart-red::hands-yellow-heart-red:,,,,,,,
ct_329,f c,in five seconds ur gong to press record ,,,,,,,
ct_331,f c,R ur ready,,,,,,,
ct_332,shon ryder,:place_of_worship:,,,,,,,
ct_334,Leesmap Man,@Erick Landaburu They are playing the whole album as far as I know. ,,,,,,,
ct_335,Angelina Evtikhova,"If Air ever comes to Chile, I'll be the first in the line to buy a ticket :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:",,,,,,,
ct_336,Patri Sempere Tari,Talisman:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,,,,,,,
ct_340,Marie Pennamen,"I know this album by heart. My dad used to listen to it so often, I have really precious memories of my childhood and family with this as a soundtrack :red_heart:",,,,,,,
ct_344,blue_scape,They played the whole album @Erick Landaburu ,,,,,,,
ct_345,Leesmap Man,@Cyrana My favourite sunday morning record,,,,,,,
ct_346,f c,chicas front rrow,,,,,,,
ct_349,filtav,:face-fuchsia-tongue-out:,,,,,,,
ct_350,VanVR,:clapping_hands:,,,,,,,
ct_351,Romeo CHARLIE,My 80's childness,,,,,,,
ct_353,Marie Pennamen,@Leesmap Man such a brilliant track !,,,,,,,
ct_354,filtav,so beautiful,,,,,,,
ct_356,sova sova,:rolling_on_the_floor_laughing:,,,,,,,
ct_357,popcorntommy,thanks so much for broadcasting this ,,,,,,,
ct_359,Chris Paynter,The best album for a warm summer's evening in the countryside or by the sea.,,,,,,,
ct_361,MasterSam,omagad THANK YOU ARTE for this !,,,,,,,
ct_362,Headsknow,@leesmap man this album changed the way I listened to music truly,,,,,,,
ct_363,Stefan Irma,REMEMBER my youth :green_heart:,,,,,,,
ct_364,János,Universe,,,,,,,
ct_365,Steven Baker,@Erick Landaburu It is the 8th song ... in a minute!,,,,,,,
ct_366,filtav,this bass ooof,,,,,,,
ct_368,Irie Elliott,production is unreal,,,,,,,
ct_369,Leonel Pérez,Amazing! :black_heart::black_heart::black_heart:,,,,,,,
ct_370,Leonel Pérez,I love you AIR :black_heart::black_heart::black_heart:,,,,,,,
ct_375,Many If Not Most,Well this takes me back,,,,,,,
ct_376,f c,DONT FORGET ABOUT YOUR HEART TONIGHT,,,,,,,
ct_379,lucalone,the audio sounds amazing,,,,,,,
ct_380,Manuel Martínez Díaz,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:,,,,,,,
ct_385,f c,FORGET ABOUT UR HEART,,,,,,,
ct_388,TouchPerInch,Just opened and this awesome concert appeard! Thank you algorithm and ARTE concert! :red_heart::red_heart:,,,,,,,
ct_389,Groover RPM,not quite the same without beth orton,,,,,,,
ct_390,Stefan Irma,NEED THIS right now :green_heart:,,,,,,,
ct_391,popcorntommy,air look more than a duo,,,,,,,
ct_392,filtav,:eyes-pink-heart-shape:,,,,,,,
ct_393,Romeo CHARLIE,"My TV harmaKardon is satured, but it's so nice",,,,,,,
ct_395,Kosmiclovers,:raising_hands::raising_hands::raising_hands::raising_hands::raising_hands:,,,,,,,
ct_397,Melissa Moncada,:smiling_face_with_hearts::face_holding_back_tears::moon_viewing_ceremony::monkey:,,,,,,,
ct_398,Olympion,:red_heart:,,,,,,,
ct_400,Daniel Olmos,:face-fuchsia-wide-eyes:,,,,,,,
ct_401,János,The visuals,,,,,,,
